mesure,BasRhinClés,BasRhinPreferredNgram,BasRhinAvoidedNgram
Craig,AKS,ex; ochse; ochs; aehx; eaux; ochseaue; yeux,ichs; eeex; eiges; igsah
Craig,ARTL,artli; artlich; urdeil,ordlig; urteil
Craig,KRVT,krawatt; cravatt; crevant,cravatte; kravatte
Craig,FRSR,versueche; versuech; v'rsüüre; fresiere; fresier; fresur; v'ryssere; v’rüssere; versuche; versüche; versüere; versüeche,frisiere; versüech; pharisäer; versüache; versüre
Craig,PXTS,b'schütze; b’schuetz,b'schitze; b’schitz; bschüetze
Craig,FRSNK,versunke; freisinnige; versenke; versink; vorsinge,versinka; versunka; versinke
Craig,ARNXT,ernscht; ernest; ernschti; ernschte; ernster,arnscht; ernst; arnschta; arnschter
Craig,KXTRV,gstorwe; gschtorwe; g'schtorwe,gstorwa; g’schtorwe
Craig,VRPT,verbotte; v'rbotte; verbitt; verbiede; verbodde; verpönt,verbote; verbiete; verbiet; verbeten; verbitte
Craig,KPT,gibt; gäbt; giebt; gebett; kapütt; kapüt; gebiet; gäbd; gabt; gebitt; gebot; gebet; g'hebbt; gäbd’; gäbte; gebadt; gebætt; gebdi; gebette; geböjt; gebotte; gepeit; gepejt; ghebt; kaput; gebott; ghebbt,g'hebt; gebatt; gebat; gebata; gebieta; gebota
Craig,RFT,rueft; reift,rieft; riaft; ruft; ranft; rüeft
Craig,ASN,e’sinn; aasähn; is’n; üssahne,essen; az'nàh; üsene
Craig,XNR,scheener; scheniere; schöner; schenier; schnurre; schoener; scheneere; schnuer; schainer; scheener‚; schenera; schenieren; schnärre; schnüer; schnuere; schnurr,schener; schönere; scheenere; schnier; schöeneri; schöener; schönerer
Craig,PRSNL,perseenlich; persönlich; persöhnli; persönli,persönlig; personal
Craig,KXMK,g’schmack; gschmecke; gschmack; gschmak,g'schmecke; g'schmack
Craig,LNKS,langs; längs,links; linkse
Craig,PVY,beweje; bobeja,babegei; babaagei; bewega; bewege
Craig,KNK,genug; king; congé; gnick; gäng; cing; cinq; g'henk; gänge; gienge; gonge; knock; chance,gang; gieng; genüeg; gange; könig; g'nüeg; ganga; ging; gangen; genick; genüag; genueg; genügen; giang; knacke
Craig,FLR,voller; fähler; flora; vul'r; fæhler; fleure; flor; fluech; flueche; fouler; füllere; valeur; veloore; velore; voleur,fehler; flüech; floren; füler; fahler; flüeche; flur
Craig,VST,visit; wüßt; wüßte; wuesst; wißt; wüesste; wüsste; weißt; visitt; wüeßt; vas-tu; wußt'; wüßt’; wusste; wußte; wüßten; wisste,weisst; visite; wisset; wusst; wisst; wüesst; wüsst
